"","site","perm_Pvalue","real_n","boot_n"
"1","Argentina_ML",0.03125,5,1
"2","Argentina_RMcI84",0.03125,5,1
"3","AUS_Ag_Biod",0.09375,6,0
"4","AUS_Berry",0.03125,5,1
"5","AUS_Savernake",0.4375,7,0
"6","AUS_Yathong_small",0.001,22,0
"7","California_RanchoMarino",0.21875,5,1
"8","California_Sedgwick_Airstrip",0.03125,4,2
"9","California_Sedgwick_Lisque",0.25,7,0
"10","California_Sedgwick_Mesa",0.03125,4,2
"11","CanaryIsland_Anaga",0.03125,4,2
"12","CanaryIsland_Teno",0.34375,8,0
"13","CanaryIsland_Valle",0.625,5,1
"14","CedarCreek",0.1875,6,0
"15","CPER",0.001,17,0
"16","FortKeogh",0.0625,4,2
"17","Germany2",0.002,14,0
"18","India_Kibber",0.015,24,0
"19","Junner Koeland",0.03125,5,1
"20","KRNP_Lammertjiesleegte",0.03125,4,2
"21","KRNP_Sandrivier",0.0625,4,2
"22","Kruger_Buff",0.424,21,0
"23","Kruger_Marheya",0.265625,7,0
"24","Kruger_Nwan",0.015625,7,0
"25","Kruger_Satara",0.640625,7,0
"26","MAERC",0.03125,4,2
"27","Mali_Korokodjo",0.03125,4,2
"28","Mali_Lakamane",0.03125,4,2
"29","Mali_Neguela",0.03125,4,2
"30","Mali_Tiendaga",0.03125,4,2
"31","Mali_Tiorola",0.03125,4,2
"32","Mananga_High",0.03125,4,2
"33","Mananga_Low",0.125,5,1
"34","Mongolia_BGgrassland",0.15625,4,2
"35","N_Pryor",0.03125,4,2
"36","N_Spring",0.15625,5,1
"37","N_Sulphur",0.3125,5,1
"38","Spain_ChapineriaHP",0.03125,5,1
"39","Spain_ChapineriaLP",0.03125,5,1
"40","SwissNP_Short",0.25390625,9,0
"41","SwissNP_Tall",0.6015625,9,0
"42","Tierber_Karoo_Research_Centre",0.90625,7,0
